ts,datetime,connections_30s,unique_dst_ports_30s,unique_dst_ips_30s,failed_conn_rate_30s,dns_rate_30s,avg_conn_duration_30s,outbound_ratio_30s,bytes_per_sec_30s,port_entropy_30s,burst_score_30s,conn_rate_per_ip_30s,unique_ports_per_ip_30s,connections_1m,unique_dst_ports_1m,unique_dst_ips_1m,failed_conn_rate_1m,dns_rate_1m,avg_conn_duration_1m,outbound_ratio_1m,bytes_per_sec_1m,port_entropy_1m,burst_score_1m,conn_rate_per_ip_1m,unique_ports_per_ip_1m,connections_5m,unique_dst_ports_5m,unique_dst_ips_5m,failed_conn_rate_5m,dns_rate_5m,avg_conn_duration_5m,outbound_ratio_5m,bytes_per_sec_5m,port_entropy_5m,burst_score_5m,conn_rate_per_ip_5m,unique_ports_per_ip_5m,flag_port_scan,flag_brute_force,flag_burst,flag_dns_flood,flag_any
1778356201.478767,2026-05-09 22:50:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1532.5073,1.0,0.0,0.0,0.0,0.0033,1,0,0,0,0,0
1778356231.478767,2026-05-09 22:50:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356261.478767,2026-05-09 22:51:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356291.478767,2026-05-09 22:51:31,1,1,1,0.0,0.0,1028.5147,1.0,542.47,0.0,0.0,0.0333,1,1,1,1,0.0,0.0,1028.5147,1.0,271.23,0.0,0.0,0.0167,1,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356321.478767,2026-05-09 22:52:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,271.23,0.0,0.0,0.0167,1,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356351.478767,2026-05-09 22:52:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356381.478767,2026-05-09 22:53:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356411.478767,2026-05-09 22:53:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356441.478767,2026-05-09 22:54:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356471.478767,2026-05-09 22:54:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356501.478767,2026-05-09 22:55:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356531.478767,2026-05-09 22:55:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356561.478767,2026-05-09 22:56:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,1028.5147,1.0,54.25,0.0,0.0,0.0033,1,0,0,0,0,0
1778356591.478767,2026-05-09 22:56:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356621.478767,2026-05-09 22:57:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356651.478767,2026-05-09 22:57:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356681.478767,2026-05-09 22:58:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356711.478767,2026-05-09 22:58:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356741.478767,2026-05-09 22:59:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356771.478767,2026-05-09 22:59:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356801.478767,2026-05-09 23:00:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356831.478767,2026-05-09 23:00:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356861.478767,2026-05-09 23:01:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356891.478767,2026-05-09 23:01:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356921.478767,2026-05-09 23:02:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356951.478767,2026-05-09 23:02:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778356981.478767,2026-05-09 23:03:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357011.478767,2026-05-09 23:03:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357041.478767,2026-05-09 23:04:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357071.478767,2026-05-09 23:04:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357101.478767,2026-05-09 23:05:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357131.478767,2026-05-09 23:05:31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1778357161.478767,2026-05-09 23:06:01,2,1,1,0.0,0.0,9.2563,1.0,486.87,0.0,0.0,0.0667,1,2,1,1,0.0,0.0,9.2563,1.0,243.43,0.0,0.0,0.0333,1,2,1,1,0.0,0.0,9.2563,1.0,48.69,0.0,0.0,0.0067,1,0,0,0,0,0
1778357191.478767,2026-05-09 23:06:31,3,1,2,0.0,0.0,3.0611,1.0,730.4,0.0,0.0093,0.1,1,5,1,3,0.0,0.0,5.5392,1.0,608.63,0.0,0.1027,0.0833,1,5,1,3,0.0,0.0,5.5392,1.0,121.73,0.0,0.1027,0.0167,1,0,0,0,0,0
1778357221.478767,2026-05-09 23:07:01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,2,0.0,0.0,3.0611,1.0,365.2,0.0,0.0093,0.05,1,5,1,3,0.0,0.0,5.5392,1.0,121.73,0.0,0.1027,0.0167,1,0,0,0,0,0
1778357251.478767,2026-05-09 23:07:31,2,1,2,0.0,0.0,15.0544,1.0,307.9,0.0,0.0,0.0667,1,2,1,2,0.0,0.0,15.0544,1.0,153.95,0.0,0.0,0.0333,1,7,1,5,0.0,0.0,8.2578,1.0,152.52,0.0,0.1341,0.0233,1,0,0,0,0,0
1778357281.478767,2026-05-09 23:08:01,1,1,1,0.0,0.0,30.071,1.0,307.9,0.0,0.0,0.0333,1,3,1,3,0.0,0.0,20.0599,1.0,307.9,0.0,0.0123,0.05,1,8,1,6,0.0,0.0,10.9844,1.0,183.31,0.0,0.1352,0.0267,1,0,0,0,0,0
